City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,0.29000000000002046,86,20,4.12,GB,1701228457
1,voi,-3.3945,38.563,22.260000000000048,89,50,1.09,KE,1701228463
2,edinburgh of the seven seas,-37.0676,-12.3116,14.510000000000048,82,93,8.7,SH,1701228468
3,kone,-21.0595,164.8658,29.24000000000001,53,100,2.18,NC,1701228358
4,kapuskasing,49.4169,-82.4331,-16.94999999999999,85,20,2.06,CA,1701228244
5,port-aux-francais,-49.35,70.2167,5.25,97,100,10.49,TF,1701228469
6,bredasdorp,-34.5322,20.0403,16.32000000000005,64,97,1.69,ZA,1701228471
7,paris,48.8534,2.3488,4.5,93,0,1.54,FR,1701228472
8,lihue,21.9789,-159.3672,23.77000000000004,81,40,2.06,US,1701228338
9,shingu,33.7333,135.9833,15.28000000000003,46,71,4.0,JP,1701228475
10,illizi,26.4833,8.4667,10.890000000000043,24,99,1.11,DZ,1701228098
11,lewistown,40.5992,-77.5714,-3.2299999999999613,80,0,5.14,US,1701228475
12,bilibino,68.0546,166.4372,-34.04999999999998,100,97,0.4,RU,1701228475
13,puerto colombia,10.9878,-74.9547,28.05000000000001,81,10,10.39,CO,1701228475
14,cabo san lucas,22.8909,-109.9124,25.420000000000016,81,5,3.94,MX,1701228475
15,saipan,15.1355,145.701,30.390000000000043,70,40,9.26,MP,1701228151
16,lebu,-37.6167,-73.65,10.430000000000007,80,0,5.82,CL,1701228476
17,adamstown,-25.066,-130.1015,22.870000000000005,88,2,6.79,PN,1701228476
18,jamestown,42.097,-79.2353,-1.2299999999999613,97,100,5.66,US,1701228315
19,fort bragg,35.139,-79.006,3.230000000000018,55,0,3.09,US,1701228478
20,udachny,66.4167,112.4,-15.859999999999957,84,100,10.01,RU,1701228201
21,kegen,43.0197,79.2203,-0.6299999999999955,59,37,3.06,KZ,1701228478
22,hawaiian paradise park,19.5933,-154.9731,25.730000000000018,89,100,3.09,US,1701228478
23,papatowai,-46.5619,169.4708,12.460000000000036,52,51,6.2,NZ,1701228478
24,parauapebas,-6.0675,-49.9022,25.03000000000003,62,16,0.49,BR,1701228320
25,puerto natales,-51.7236,-72.4875,5.3700000000000045,87,100,4.85,CL,1701228481
26,pathein,16.7833,94.7333,26.260000000000048,62,17,5.09,MM,1701228481
27,callao,-12.0667,-77.15,21.510000000000048,77,75,6.69,PE,1701228484
28,punta del este,-34.9667,-54.95,22.060000000000002,85,75,6.17,UY,1701228486
29,iqaluit,63.7506,-68.5145,-0.14999999999997726,86,100,4.63,CA,1701228487
30,mount isa,-20.7333,139.5,36.870000000000005,26,40,4.63,AU,1701228176
31,alzamay,55.5562,98.6644,-17.96999999999997,89,24,1.37,RU,1701228487
32,blackmans bay,-43.0167,147.3167,17.510000000000048,61,88,1.34,AU,1701228487
33,sisimiut,66.9395,-53.6735,-4.96999999999997,65,100,6.61,GL,1701228487
34,punta arenas,-53.15,-70.9167,9.060000000000002,57,75,5.66,CL,1701228491
35,yellowknife,62.456,-114.3525,-9.769999999999982,92,100,1.79,CA,1701228493
36,chadron,42.8294,-102.9999,-0.07999999999998408,65,0,5.66,US,1701228493
37,walvis bay,-22.9575,14.5053,16.720000000000027,90,34,2.62,NA,1701227932
38,port elizabeth,-33.918,25.5701,16.160000000000025,90,40,10.29,ZA,1701228493
39,tromso,69.6496,18.957,-5.989999999999952,79,31,2.06,NO,1701228494
40,pons,45.5799,-0.5478,2.990000000000009,93,9,1.54,FR,1701228497
41,ulladulla,-35.35,150.4667,20.870000000000005,90,99,7.85,AU,1701228205
42,grytviken,-54.2811,-36.5092,1.2700000000000387,83,92,2.9,GS,1701228499
43,tura,25.5198,90.2201,23.650000000000034,56,14,0.45,IN,1701228082
44,hermanus,-34.4187,19.2345,15.980000000000018,71,70,2.42,ZA,1701228501
45,remire-montjoly,4.9167,-52.2667,26.02000000000004,89,20,1.54,GF,1701228503
46,dolinsk,47.35,142.8,-2.92999999999995,85,100,9.12,RU,1701228508
47,lazaro cardenas,17.9583,-102.2,26.02000000000004,83,100,2.19,MX,1701228512
48,weno,7.4515,151.8468,29.970000000000027,74,100,4.63,FM,1701228516
49,ushuaia,-54.8,-68.3,6.810000000000002,49,0,2.57,AR,1701228517
50,christchurch,-43.5333,172.6333,16.620000000000005,51,100,1.79,NZ,1701228318
51,dunlap,41.6378,-85.9217,-6.8799999999999955,79,20,3.09,US,1701228382
52,ilulissat,69.2167,-51.1,-4.989999999999952,50,40,7.2,GL,1701228519
53,albany,42.6001,-73.9662,-2.1299999999999955,76,67,0.89,US,1701228488
54,uusikaupunki,60.8004,21.4084,-3.25,92,77,6.66,FI,1701228522
55,st. john's,47.5649,-52.7093,4.430000000000007,93,75,8.23,CA,1701228523
56,ciudad lazaro cardenas,17.9583,-102.2,26.02000000000004,83,100,2.19,MX,1701228524
57,whitehorse,60.7161,-135.0538,-10.569999999999993,85,0,1.03,CA,1701228427
58,tazovsky,67.4667,78.7,-17.20999999999998,96,100,3.88,RU,1701228527
59,hadibu,12.65,54.0333,25.450000000000045,84,97,5.59,YE,1701228530
60,bethel,41.3712,-73.414,-0.2799999999999727,57,0,4.63,US,1701228531
61,xai-xai,-25.0519,33.6442,24.32000000000005,65,100,5.1,MZ,1701228531
62,flen,59.0583,16.5878,-5.949999999999989,95,100,1.75,SE,1701228531
63,malanje,-9.5402,16.341,17.25,99,100,1.08,AO,1701228066
64,olonkinbyen,70.9221,-8.7187,1.5300000000000296,83,97,2.86,SJ,1701228531
65,mungwi,-10.1732,31.3694,18.28000000000003,87,100,0.87,ZM,1701228532
66,namibe,-15.1961,12.1522,23.129999999999995,81,91,0.6,AO,1701228532
67,ribeira grande,38.5167,-28.7,17.650000000000034,92,100,1.79,PT,1701228532
68,tiksi,71.6872,128.8694,-16.75,88,100,7.28,RU,1701228532
